"BA Code","Timestamp (Hour Ending)","Demand (MWh)"
NYIS,"11/3/2025 11 p.m. EST",15546
NYIS,"11/4/2025 12 a.m. EST",14682
NYIS,"11/4/2025 1 a.m. EST",14052
NYIS,"11/4/2025 2 a.m. EST",13634
NYIS,"11/4/2025 3 a.m. EST",13388
NYIS,"11/4/2025 4 a.m. EST",13314
NYIS,"11/4/2025 5 a.m. EST",13563
NYIS,"11/4/2025 6 a.m. EST",14395
NYIS,"11/4/2025 7 a.m. EST",15659
NYIS,"11/4/2025 8 a.m. EST",16074
NYIS,"11/4/2025 9 a.m. EST",15170
NYIS,"11/4/2025 10 a.m. EST",14357
NYIS,"11/4/2025 11 a.m. EST",14086
NYIS,"11/4/2025 12 p.m. EST",14101
NYIS,"11/4/2025 1 p.m. EST",14216
NYIS,"11/4/2025 2 p.m. EST",14485
NYIS,"11/4/2025 3 p.m. EST",14944
NYIS,"11/4/2025 4 p.m. EST",16065
NYIS,"11/4/2025 5 p.m. EST",17317
NYIS,"11/4/2025 6 p.m. EST",18211
NYIS,"11/4/2025 7 p.m. EST",18110
NYIS,"11/4/2025 8 p.m. EST",17720
NYIS,"11/4/2025 9 p.m. EST",17158
NYIS,"11/4/2025 10 p.m. EST",16400
NYIS,"11/4/2025 11 p.m. EST",15503
NYIS,"11/5/2025 12 a.m. EST",14679
NYIS,"11/5/2025 1 a.m. EST",14099
NYIS,"11/5/2025 2 a.m. EST",13673
NYIS,"11/5/2025 3 a.m. EST",13400
NYIS,"11/5/2025 4 a.m. EST",13314
NYIS,"11/5/2025 5 a.m. EST",13553
NYIS,"11/5/2025 6 a.m. EST",14402
NYIS,"11/5/2025 7 a.m. EST",15775
NYIS,"11/5/2025 8 a.m. EST",16628
NYIS,"11/5/2025 9 a.m. EST",16867
NYIS,"11/5/2025 10 a.m. EST",16618
NYIS,"11/5/2025 11 a.m. EST",16167
NYIS,"11/5/2025 12 p.m. EST",15996
NYIS,"11/5/2025 1 p.m. EST",16176
NYIS,"11/5/2025 2 p.m. EST",16385
NYIS,"11/5/2025 3 p.m. EST",16651
NYIS,"11/5/2025 4 p.m. EST",17179
NYIS,"11/5/2025 5 p.m. EST",17822
NYIS,"11/5/2025 6 p.m. EST",18371
NYIS,"11/5/2025 7 p.m. EST",18130
NYIS,"11/5/2025 8 p.m. EST",17670
NYIS,"11/5/2025 9 p.m. EST",17112
NYIS,"11/5/2025 10 p.m. EST",16319
NYIS,"11/5/2025 11 p.m. EST",15409
NYIS,"11/6/2025 12 a.m. EST",14466
NYIS,"11/6/2025 1 a.m. EST",13829
NYIS,"11/6/2025 2 a.m. EST",13467
NYIS,"11/6/2025 3 a.m. EST",13223
NYIS,"11/6/2025 4 a.m. EST",13160
NYIS,"11/6/2025 5 a.m. EST",13386
NYIS,"11/6/2025 6 a.m. EST",14223
NYIS,"11/6/2025 7 a.m. EST",15660
NYIS,"11/6/2025 8 a.m. EST",16330
